% simplified messaging output 25-points 20-replications
% x	log2(x)		rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10	rep11	rep12	rep13	rep14	rep15	rep16	rep17	rep18	rep19	rep20
 3.12500000e-02 -5.00000000e+00 1.34310000e+01 1.33923000e+01 1.34561000e+01 1.34360000e+01 1.34243000e+01 1.34238000e+01 1.34010000e+01 1.33901000e+01 1.34079000e+01 1.34053000e+01 1.34023000e+01 1.34521000e+01 1.33989000e+01 1.34097000e+01 1.34575000e+01 1.34426000e+01 1.34105000e+01 1.34186000e+01 1.33879000e+01 1.34236000e+01
 6.25000000e-02 -4.00000000e+00 1.34542000e+01 1.34622000e+01 1.34278000e+01 1.34351000e+01 1.34611000e+01 1.34317000e+01 1.34304000e+01 1.34342000e+01 1.34488000e+01 1.34896000e+01 1.34349000e+01 1.34471000e+01 1.33936000e+01 1.34589000e+01 1.34686000e+01 1.34139000e+01 1.34467000e+01 1.34233000e+01 1.34610000e+01 1.34570000e+01
 1.25000000e-01 -3.00000000e+00 1.35354000e+01 1.34889000e+01 1.35242000e+01 1.34923000e+01 1.35223000e+01 1.34816000e+01 1.34806000e+01 1.34861000e+01 1.35208000e+01 1.34659000e+01 1.35100000e+01 1.35406000e+01 1.34710000e+01 1.34990000e+01 1.34915000e+01 1.34997000e+01 1.34957000e+01 1.35069000e+01 1.34635000e+01 1.34834000e+01
 2.50000000e-01 -2.00000000e+00 1.37134000e+01 1.36591000e+01 1.36326000e+01 1.36290000e+01 1.37203000e+01 1.36608000e+01 1.37046000e+01 1.36507000e+01 1.37117000e+01 1.36541000e+01 1.36673000e+01 1.36718000e+01 1.36537000e+01 1.36631000e+01 1.36995000e+01 1.37105000e+01 1.37093000e+01 1.36720000e+01 1.37072000e+01 1.37081000e+01
 5.00000000e-01 -1.00000000e+00 1.44649000e+01 1.44951000e+01 1.45916000e+01 1.44573000e+01 1.45090000e+01 1.44765000e+01 1.45728000e+01 1.44672000e+01 1.44927000e+01 1.45727000e+01 1.44848000e+01 1.45131000e+01 1.45497000e+01 1.45640000e+01 1.45348000e+01 1.45126000e+01 1.45148000e+01 1.45621000e+01 1.44522000e+01 1.45575000e+01
 5.94600000e-01 -7.50008632e-01 1.51032000e+01 1.51027000e+01 1.52142000e+01 1.51625000e+01 1.50023000e+01 1.52438000e+01 1.51367000e+01 1.51163000e+01 1.51941000e+01 1.52661000e+01 1.50650000e+01 1.51267000e+01 1.51673000e+01 1.52023000e+01 1.51133000e+01 1.51928000e+01 1.51922000e+01 1.52378000e+01 1.50987000e+01 1.52094000e+01
 7.07100000e-01 -5.00013836e-01 1.65629000e+01 1.64315000e+01 1.65033000e+01 1.62985000e+01 1.64631000e+01 1.63645000e+01 1.64874000e+01 1.64804000e+01 1.64608000e+01 1.62804000e+01 1.61740000e+01 1.64725000e+01 1.64438000e+01 1.64078000e+01 1.65230000e+01 1.66139000e+01 1.64453000e+01 1.63271000e+01 1.64169000e+01 1.64663000e+01
 7.71100000e-01 -3.75010127e-01 1.79878000e+01 1.76086000e+01 1.79014000e+01 1.78355000e+01 1.78712000e+01 1.76442000e+01 1.72781000e+01 1.76489000e+01 1.78897000e+01 1.80021000e+01 1.74560000e+01 1.76736000e+01 1.75858000e+01 1.76709000e+01 1.75252000e+01 1.77764000e+01 1.77511000e+01 1.75407000e+01 1.76342000e+01 1.74260000e+01
 8.40900000e-01 -2.49993850e-01 1.97124000e+01 1.94650000e+01 1.99351000e+01 1.97177000e+01 2.01119000e+01 1.93675000e+01 1.99098000e+01 1.94934000e+01 1.98568000e+01 1.93956000e+01 1.95757000e+01 1.99424000e+01 1.97893000e+01 1.97159000e+01 1.97629000e+01 1.99594000e+01 1.96472000e+01 1.97457000e+01 1.91083000e+01 1.93001000e+01
 9.17000000e-01 -1.25006361e-01 2.20104000e+01 2.26852000e+01 2.27609000e+01 2.26608000e+01 2.28048000e+01 2.21238000e+01 2.32115000e+01 2.25365000e+01 2.26582000e+01 2.27370000e+01 2.25379000e+01 2.25176000e+01 2.25818000e+01 2.26473000e+01 2.25397000e+01 2.27326000e+01 2.25458000e+01 2.30502000e+01 2.27575000e+01 2.24139000e+01
 9.49300000e-01 -7.50640117e-02 2.53997000e+01 2.47450000e+01 2.39113000e+01 2.41017000e+01 2.41957000e+01 2.45034000e+01 2.42011000e+01 2.43883000e+01 2.42888000e+01 2.45907000e+01 2.50157000e+01 2.43296000e+01 2.45975000e+01 2.44980000e+01 2.44063000e+01 2.42197000e+01 2.43074000e+01 2.42143000e+01 2.44060000e+01 2.42498000e+01
 9.82800000e-01 -2.50302372e-02 2.65417000e+01 2.56128000e+01 2.56985000e+01 2.59317000e+01 2.56522000e+01 2.56590000e+01 2.59057000e+01 2.63362000e+01 2.60365000e+01 2.60377000e+01 2.58466000e+01 2.61124000e+01 2.64602000e+01 2.55105000e+01 2.57225000e+01 2.65460000e+01 2.57855000e+01 2.60238000e+01 2.56849000e+01 2.54079000e+01
 1.00000000e+00 0.00000000e+00 2.71201000e+01 2.73786000e+01 2.63769000e+01 2.68355000e+01 2.70935000e+01 2.73652000e+01 2.71010000e+01 2.67232000e+01 2.68328000e+01 2.64932000e+01 2.63916000e+01 2.68262000e+01 2.67030000e+01 2.68971000e+01 2.67471000e+01 2.71882000e+01 2.70163000e+01 2.66205000e+01 2.64731000e+01 2.69447000e+01
 1.01750000e+00 2.50287945e-02 2.77156000e+01 2.70548000e+01 2.77788000e+01 2.71662000e+01 2.73877000e+01 2.72118000e+01 2.69420000e+01 2.75049000e+01 2.75180000e+01 2.80071000e+01 2.77855000e+01 2.78783000e+01 2.75664000e+01 2.73264000e+01 2.79544000e+01 2.77549000e+01 2.76536000e+01 2.76195000e+01 2.71802000e+01 2.77041000e+01
 1.05340000e+00 7.50533646e-02 2.94202000e+01 2.96446000e+01 2.90729000e+01 2.95271000e+01 2.87159000e+01 2.89695000e+01 2.90604000e+01 2.91558000e+01 2.86859000e+01 2.87751000e+01 2.92785000e+01 2.90891000e+01 2.90375000e+01 2.94879000e+01 2.82835000e+01 2.90344000e+01 2.94292000e+01 2.88429000e+01 2.93760000e+01 2.88665000e+01
 1.09050000e+00 1.24989770e-01 3.13735000e+01 3.09971000e+01 3.05687000e+01 3.07924000e+01 3.08098000e+01 3.09204000e+01 3.01238000e+01 3.06622000e+01 3.08590000e+01 3.05204000e+01 3.12912000e+01 3.03468000e+01 3.04960000e+01 3.07277000e+01 3.11463000e+01 3.03208000e+01 3.06531000e+01 3.11373000e+01 3.07482000e+01 3.07871000e+01
 1.18920000e+00 2.49991368e-01 3.36627000e+01 3.37404000e+01 3.35511000e+01 3.36638000e+01 3.34793000e+01 3.35326000e+01 3.41126000e+01 3.38593000e+01 3.31914000e+01 3.37131000e+01 3.36518000e+01 3.38851000e+01 3.34610000e+01 3.37983000e+01 3.37912000e+01 3.38103000e+01 3.40460000e+01 3.34876000e+01 3.40926000e+01 3.32237000e+01
 1.29680000e+00 3.74955996e-01 3.53573000e+01 3.52661000e+01 3.50168000e+01 3.55703000e+01 3.46748000e+01 3.50296000e+01 3.56963000e+01 3.52636000e+01 3.48652000e+01 3.51267000e+01 3.54112000e+01 3.53110000e+01 3.59208000e+01 3.52030000e+01 3.55196000e+01 3.50249000e+01 3.49617000e+01 3.53705000e+01 3.51837000e+01 3.52642000e+01
 1.41420000e+00 4.99986164e-01 3.62840000e+01 3.65107000e+01 3.60756000e+01 3.60667000e+01 3.60104000e+01 3.60481000e+01 3.59864000e+01 3.61707000e+01 3.60819000e+01 3.66001000e+01 3.65945000e+01 3.63551000e+01 3.58210000e+01 3.57851000e+01 3.58057000e+01 3.63565000e+01 3.58987000e+01 3.63470000e+01 3.63744000e+01 3.64567000e+01
 1.68180000e+00 7.50006150e-01 3.70423000e+01 3.73120000e+01 3.70576000e+01 3.73963000e+01 3.70452000e+01 3.75623000e+01 3.69457000e+01 3.74139000e+01 3.68491000e+01 3.70673000e+01 3.69095000e+01 3.70604000e+01 3.74085000e+01 3.70471000e+01 3.74164000e+01 3.67237000e+01 3.73220000e+01 3.69750000e+01 3.79324000e+01 3.71824000e+01
 2.00000000e+00 1.00000000e+00 3.78629000e+01 3.72023000e+01 3.74971000e+01 3.73560000e+01 3.76901000e+01 3.73755000e+01 3.76533000e+01 3.77486000e+01 3.72681000e+01 3.76263000e+01 3.76351000e+01 3.81082000e+01 3.77444000e+01 3.76303000e+01 3.76209000e+01 3.75562000e+01 3.75207000e+01 3.78702000e+01 3.76511000e+01 3.75422000e+01
 4.00000000e+00 2.00000000e+00 3.84955000e+01 3.80261000e+01 3.79210000e+01 3.84480000e+01 3.81264000e+01 3.79835000e+01 3.88602000e+01 3.86533000e+01 3.86198000e+01 3.79863000e+01 3.86358000e+01 3.88869000e+01 3.81231000e+01 3.86628000e+01 3.84310000e+01 3.76860000e+01 3.80055000e+01 3.80648000e+01 3.85483000e+01 3.84668000e+01
 8.00000000e+00 3.00000000e+00 3.83829000e+01 3.87919000e+01 3.84728000e+01 3.89577000e+01 3.84311000e+01 3.83987000e+01 3.87474000e+01 3.83874000e+01 3.85082000e+01 3.80551000e+01 3.81922000e+01 3.91025000e+01 3.83162000e+01 3.82370000e+01 3.83755000e+01 3.87742000e+01 3.82876000e+01 3.83164000e+01 3.83974000e+01 3.89760000e+01
